Fecha apil;Fecha riego;Fecha aporte;Mineral_tms;Tcu_%;ASCu_%;CNCu_%;Ac_correa;H(bs)_%;RS_%;Altura_p_m;Sal_sol_kg/ton;Sal_salmu_kg/ton;sal_total_kg/ton;p80_mm;%-100#;HON gpl;RL_m3/t;Rmax;
23-ago-22;06-sept-22;12-sept-22;146.371;0,795;0,131;0,591;2.637;5,3;90,8;6,3;0,0;7,2;7,2;15,5;0,0;9,0;3,04;55,2;
26-ago-22;09-sept-22;15-sept-22;146.491;0,785;0,132;0,594;2.887;5,2;92,5;6,2;0,5;7,6;8,1;15,9;0,0;9,0;3,03;57,9;
29-ago-22;13-sept-22;18-sept-22;146.350;0,722;0,126;0,530;2.898;5,2;90,9;6,1;1,1;6,5;7,6;15,0;0,0;9,0;3,04;54,7;
31-ago-22;14-sept-22;20-sept-22;146.334;0,754;0,140;0,539;2.672;5,3;90,0;6,0;0,3;7,1;7,4;14,6;0,0;9,0;3,04;55,3;
04-sept-22;18-sept-22;22-sept-22;139.100;0,745;0,146;0,515;2.470;6,1;88,8;6,0;0,0;8,0;8,0;14,8;0,0;9,0;3,20;56,5;
08-sept-22;22-sept-22;25-sept-22;138.564;0,785;0,152;0,562;2.722;5,6;90,9;6,1;0,0;8,4;8,4;15,3;0,0;9,0;3,21;59,4;
11-sept-22;25-sept-22;30-sept-22;136.411;0,628;0,117;0,410;2.901;5,9;83,9;6,0;0,0;8,9;8,9;13,9;0,0;9,0;3,26;57,9;
15-sept-22;29-sept-22;04-oct-22;138.558;0,724;0,126;0,505;2.669;5,8;87,2;6,0;0,8;7,4;8,2;14,9;0,0;9,0;3,21;54,7;
20-sept-22;04-oct-22;10-oct-22;140.231;0,767;0,116;0,493;2.061;5,9;79,5;6,3;3,4;6,1;9,5;14,8;0,0;9,0;3,17;45,3;
23-sept-22;07-oct-22;12-oct-22;140.111;0,793;0,121;0,544;2.568;5,9;83,9;6,5;0,2;8,2;8,4;14,8;0,0;9,0;3,17;53,9;
27-sept-22;12-oct-22;16-oct-22;140.368;0,887;0,137;0,654;2.857;6,2;89,2;6,2;0,0;9,8;9,8;14,8;0,0;9,0;3,17;61,1;
